video_id,title,title_length,emoji_count_title,channel_name,channel_id,view_count,duration_seconds,published_text,region,category,is_live,scraped_at,like_count,comment_count,like_per_view,comment_per_view,engagement_rate,days_since_published,has_emoji,title_char_per_word,video_length_category,subscriber_count,subscriber_tier
video_14,Video Title 14,21,1,Channel_203,UC828963,1000,900,16 days ago,GB,Entertainment,0,2026-06-14T17:42:35.790396,19,20,0.019,0.02,0.039,16,1,5.25,Extended (10-30m),100,Nano
video_15,Video Title 15,83,0,Channel_408,UC259307,1000,3600,22 days ago,BR,News,0,2026-06-14T17:42:35.790396,45,20,0.045,0.02,0.065,22,0,20.75,Very Long (>30m),100,Nano
video_16,Video Title 16,79,1,Channel_210,UC170744,1001,180,24 days ago,DE,Sports,0,2026-06-14T17:42:35.790396,19,8,0.01898101898101898,0.007992007992007992,0.026973026973026972,24,1,19.75,Medium (1-5m),100,Nano
video_17,Video Title 17,40,0,Channel_859,UC867841,1000,1800,14 days ago,DE,Technology,0,2026-06-14T17:42:35.790396,94,28,0.094,0.028,0.122,14,0,10.0,Extended (10-30m),100,Nano
video_18,Video Title 18,52,1,Channel_101,UC175961,1000,1800,15 days ago,IN,Education,0,2026-06-14T17:42:35.790396,72,25,0.072,0.025,0.097,15,1,13.0,Extended (10-30m),195,Nano
video_19,Video Title 19,95,1,Channel_446,UC390629,1000,300,15 days ago,BR,Gaming,0,2026-06-14T17:42:35.790396,45,26,0.045,0.026,0.071,15,1,23.75,Medium (1-5m),102,Nano
video_20,Video Title 20,77,1,Channel_898,UC722347,1001,3600,20 days ago,KR,Comedy,0,2026-06-14T17:42:35.790396,11,6,0.01098901098901099,0.005994005994005994,0.016983016983016984,20,1,19.25,Very Long (>30m),100,Nano
video_21,Video Title 21,41,1,Channel_783,UC244254,1002,600,1 days ago,JP,Music,0,2026-06-14T17:42:35.790396,30,29,0.029940119760479042,0.028942115768463075,0.05888223552894212,1,1,10.25,Long (5-10m),100,Nano
video_22,Video Title 22,68,1,Channel_971,UC827118,1000,60,28 days ago,IN,Comedy,0,2026-06-14T17:42:35.790396,103,13,0.103,0.013,0.116,28,1,17.0,Short (<1m),100,Nano
video_23,Video Title 23,78,0,Channel_987,UC638768,1000,60,19 days ago,US,Gaming,0,2026-06-14T17:42:35.790396,44,20,0.044,0.02,0.064,19,0,19.5,Short (<1m),104,Nano
video_24,Video Title 24,61,1,Channel_561,UC812320,1000,180,25 days ago,DE,How-to,0,2026-06-14T17:42:35.790396,56,27,0.056,0.027,0.083,25,1,15.25,Medium (1-5m),101,Nano
video_25,Video Title 25,79,1,Channel_368,UC282285,1002,900,26 days ago,US,Education,0,2026-06-14T17:42:35.790396,20,3,0.01996007984031936,0.0029940119760479044,0.022954091816367265,26,1,19.75,Extended (10-30m),100,Nano
video_26,Video Title 26,99,2,Channel_239,UC687382,1001,600,7 days ago,IN,Entertainment,0,2026-06-14T17:42:35.790396,86,10,0.08591408591408592,0.00999000999000999,0.0959040959040959,7,1,24.75,Long (5-10m),100,Nano
video_27,Video Title 27,34,0,Channel_727,UC800417,1000,300,18 days ago,DE,How-to,0,2026-06-14T17:42:35.790396,122,11,0.122,0.011,0.133,18,0,8.5,Medium (1-5m),101,Nano
video_28,Video Title 28,81,0,Channel_291,UC856227,1000,900,15 days ago,CA,Comedy,0,2026-06-14T17:42:35.790396,59,23,0.059,0.023,0.082,15,0,20.25,Extended (10-30m),100,Nano
video_29,Video Title 29,81,1,Channel_372,UC463251,1000,900,13 days ago,US,Sports,0,2026-06-14T17:42:35.790396,26,9,0.026,0.009,0.035,13,1,20.25,Extended (10-30m),100,Nano
video_30,Video Title 30,66,0,Channel_862,UC204513,1000,1800,19 days ago,GB,News,0,2026-06-14T17:42:35.790396,143,12,0.143,0.012,0.155,19,0,16.5,Extended (10-30m),100,Nano
video_31,Video Title 31,81,1,Channel_431,UC921493,1000,600,18 days ago,CA,Entertainment,0,2026-06-14T17:42:35.790396,81,12,0.081,0.012,0.093,18,1,20.25,Long (5-10m),100,Nano
video_32,Video Title 32,70,1,Channel_280,UC445689,1000,300,4 days ago,CA,Education,0,2026-06-14T17:42:35.790396,22,27,0.022,0.027,0.049,4,1,17.5,Medium (1-5m),101,Nano
video_33,Video Title 33,74,0,Channel_467,UC377933,1000,3600,18 days ago,GB,Entertainment,0,2026-06-14T17:42:35.790396,79,1,0.079,0.001,0.08,18,0,18.5,Very Long (>30m),100,Nano
video_34,Video Title 34,83,1,Channel_316,UC744785,1000,3600,4 days ago,DE,How-to,0,2026-06-14T17:42:35.790396,16,5,0.016,0.005,0.021,4,1,20.75,Very Long (>30m),100,Nano
video_35,Video Title 35,22,0,Channel_989,UC985307,1000,600,27 days ago,FR,How-to,0,2026-06-14T17:42:35.790396,17,27,0.017,0.027,0.044,27,0,5.5,Long (5-10m),104,Nano
video_36,Video Title 36,70,1,Channel_77,UC861063,1000,600,16 days ago,IN,News,0,2026-06-14T17:42:35.790396,54,18,0.054,0.018,0.072,16,1,17.5,Long (5-10m),101,Nano
video_37,Video Title 37,26,2,Channel_816,UC650575,1000,60,14 days ago,FR,Entertainment,0,2026-06-14T17:42:35.790396,104,3,0.104,0.003,0.107,14,1,6.5,Short (<1m),101,Nano
video_38,Video Title 38,40,0,Channel_151,UC377158,1000,300,14 days ago,CA,Film,0,2026-06-14T17:42:35.790396,108,14,0.108,0.014,0.122,14,0,10.0,Medium (1-5m),100,Nano
video_39,Video Title 39,92,1,Channel_396,UC531813,1001,900,7 days ago,IN,Gaming,0,2026-06-14T17:42:35.790396,136,28,0.13586413586413587,0.027972027972027972,0.16383616383616384,7,1,23.0,Extended (10-30m),100,Nano
video_40,Video Title 40,58,0,Channel_496,UC641755,1000,600,13 days ago,CA,Music,0,2026-06-14T17:42:35.790396,25,22,0.025,0.022,0.047,13,0,14.5,Long (5-10m),100,Nano
video_41,Video Title 41,37,1,Channel_297,UC609853,1001,180,24 days ago,AU,Technology,0,2026-06-14T17:42:35.790396,75,8,0.07492507492507493,0.007992007992007992,0.08291708291708291,24,1,9.25,Medium (1-5m),100,Nano
video_42,Video Title 42,23,1,Channel_669,UC449594,1000,300,14 days ago,DE,Film,0,2026-06-14T17:42:35.790396,76,13,0.076,0.013,0.089,14,1,5.75,Medium (1-5m),103,Nano
video_43,Video Title 43,79,0,Channel_710,UC285426,1002,180,10 days ago,AU,Film,0,2026-06-14T17:42:35.790396,74,15,0.07385229540918163,0.014970059880239521,0.08882235528942116,10,0,19.75,Medium (1-5m),102,Nano
video_44,Video Title 44,33,0,Channel_947,UC702185,1000,900,13 days ago,AU,Entertainment,0,2026-06-14T17:42:35.790396,127,23,0.127,0.023,0.15,13,0,8.25,Extended (10-30m),100,Nano
video_45,Video Title 45,28,2,Channel_896,UC482262,1000,300,6 days ago,FR,Entertainment,0,2026-06-14T17:42:35.790396,123,23,0.123,0.023,0.146,6,1,7.0,Medium (1-5m),100,Nano
video_46,Video Title 46,72,0,Channel_407,UC296037,1000,60,11 days ago,DE,Music,0,2026-06-14T17:42:35.790396,81,9,0.081,0.009,0.09,11,0,18.0,Short (<1m),100,Nano
video_47,Video Title 47,21,0,Channel_287,UC622265,1000,300,25 days ago,US,Music,0,2026-06-14T17:42:35.790396,118,22,0.118,0.022,0.14,25,0,5.25,Medium (1-5m),100,Nano
video_48,Video Title 48,79,0,Channel_493,UC709705,1000,900,6 days ago,BR,Music,0,2026-06-14T17:42:35.790396,18,29,0.018,0.029,0.047,6,0,19.75,Extended (10-30m),101,Nano
video_49,Video Title 49,90,0,Channel_917,UC384024,1000,60,27 days ago,US,Education,0,2026-06-14T17:42:35.790396,84,3,0.084,0.003,0.087,27,0,22.5,Short (<1m),100,Nano
video_50,Video Title 50,63,0,Channel_536,UC357266,1000,900,11 days ago,JP,Education,0,2026-06-14T17:42:35.790396,23,24,0.023,0.024,0.047,11,0,15.75,Extended (10-30m),100,Nano
video_51,Video Title 51,27,1,Channel_456,UC219618,1000,1800,19 days ago,AU,News,0,2026-06-14T17:42:35.790396,131,18,0.131,0.018,0.149,19,1,6.75,Extended (10-30m),102,Nano
video_52,Video Title 52,66,1,Channel_492,UC938978,1000,300,17 days ago,FR,How-to,0,2026-06-14T17:42:35.790396,80,12,0.08,0.012,0.092,17,1,16.5,Medium (1-5m),100,Nano
video_53,Video Title 53,54,1,Channel_9,UC406160,1000,900,25 days ago,IN,How-to,0,2026-06-14T17:42:35.790396,12,23,0.012,0.023,0.035,25,1,13.5,Extended (10-30m),101,Nano
video_54,Video Title 54,97,0,Channel_918,UC388123,1000,300,3 days ago,KR,Gaming,0,2026-06-14T17:42:35.790396,86,10,0.086,0.01,0.096,3,0,24.25,Medium (1-5m),100,Nano
video_55,Video Title 55,55,0,Channel_132,UC947948,1004,60,1 days ago,CA,Education,1,2026-06-14T17:42:35.790396,113,10,0.11254980079681275,0.0099601593625498,0.12250996015936255,1,0,13.75,Short (<1m),100,Nano
video_56,Video Title 56,69,0,Channel_77,UC148741,1000,300,16 days ago,BR,Music,0,2026-06-14T17:42:35.790396,28,15,0.028,0.015,0.043,16,0,17.25,Medium (1-5m),103,Nano
video_57,Video Title 57,23,0,Channel_738,UC558251,1000,900,12 days ago,KR,Comedy,0,2026-06-14T17:42:35.790396,49,14,0.049,0.014,0.063,12,0,5.75,Extended (10-30m),100,Nano
video_58,Video Title 58,21,0,Channel_131,UC943565,1000,900,27 days ago,GB,News,0,2026-06-14T17:42:35.790396,72,4,0.072,0.004,0.076,27,0,5.25,Extended (10-30m),100,Nano
video_59,Video Title 59,25,0,Channel_997,UC375504,1000,1800,14 days ago,KR,How-to,0,2026-06-14T17:42:35.790396,68,1,0.068,0.001,0.069,14,0,6.25,Extended (10-30m),100,Nano
video_60,Video Title 60,73,1,Channel_888,UC611229,1000,3600,18 days ago,CA,News,0,2026-06-14T17:42:35.790396,80,19,0.08,0.019,0.099,18,1,18.25,Very Long (>30m),101,Nano
video_61,Video Title 61,23,1,Channel_412,UC429083,1001,1800,28 days ago,IN,Technology,0,2026-06-14T17:42:35.790396,12,10,0.011988011988011988,0.00999000999000999,0.02197802197802198,28,1,5.75,Extended (10-30m),100,Nano
video_62,Video Title 62,73,1,Channel_90,UC922520,1005,900,3 days ago,IN,News,0,2026-06-14T17:42:35.790396,113,16,0.11243781094527364,0.015920398009950248,0.12835820895522387,3,1,18.25,Extended (10-30m),101,Nano
video_63,Video Title 63,82,0,Channel_498,UC336615,1001,180,24 days ago,IN,How-to,0,2026-06-14T17:42:35.790396,54,6,0.053946053946053944,0.005994005994005994,0.059940059940059943,24,0,20.5,Medium (1-5m),100,Nano
video_64,Video Title 64,37,0,Channel_629,UC442462,1000,180,8 days ago,FR,Education,0,2026-06-14T17:42:35.790396,108,17,0.108,0.017,0.125,8,0,9.25,Medium (1-5m),100,Nano
video_65,Video Title 65,63,0,Channel_622,UC507236,1000,180,18 days ago,BR,Technology,0,2026-06-14T17:42:35.790396,129,10,0.129,0.01,0.139,18,0,15.75,Medium (1-5m),100,Nano
video_66,Video Title 66,53,0,Channel_889,UC500636,1001,600,16 days ago,BR,Gaming,0,2026-06-14T17:42:35.790396,106,18,0.10589410589410589,0.017982017982017984,0.12387612387612387,16,0,13.25,Long (5-10m),101,Nano
video_67,Video Title 67,93,0,Channel_354,UC713347,1000,1800,15 days ago,CA,Comedy,0,2026-06-14T17:42:35.790396,104,20,0.104,0.02,0.124,15,0,23.25,Extended (10-30m),100,Nano
video_68,Video Title 68,81,0,Channel_271,UC395781,1000,300,22 days ago,BR,Comedy,0,2026-06-14T17:42:35.790396,91,1,0.091,0.001,0.092,22,0,20.25,Medium (1-5m),101,Nano
video_69,Video Title 69,33,1,Channel_392,UC794570,1000,180,2 days ago,KR,Music,0,2026-06-14T17:42:35.790396,10,13,0.01,0.013,0.023,2,1,8.25,Medium (1-5m),100,Nano
video_70,Video Title 70,67,2,Channel_432,UC917885,1002,900,29 days ago,GB,Film,0,2026-06-14T17:42:35.790396,136,22,0.13572854291417166,0.021956087824351298,0.15768463073852296,29,1,16.75,Extended (10-30m),100,Nano
video_71,Video Title 71,34,2,Channel_739,UC240347,1001,900,16 days ago,AU,How-to,0,2026-06-14T17:42:35.790396,126,22,0.1258741258741259,0.02197802197802198,0.14785214785214784,16,1,8.5,Extended (10-30m),102,Nano
video_72,Video Title 72,91,0,Channel_472,UC261124,1000,180,23 days ago,GB,Film,0,2026-06-14T17:42:35.790396,37,12,0.037,0.012,0.049,23,0,22.75,Medium (1-5m),100,Nano
video_73,Video Title 73,97,1,Channel_756,UC622396,1006,1800,29 days ago,IN,Film,0,2026-06-14T17:42:35.790396,35,24,0.03479125248508946,0.02385685884691849,0.05864811133200795,29,1,24.25,Extended (10-30m),100,Nano
video_74,Video Title 74,81,1,Channel_308,UC851957,1001,180,10 days ago,CA,Film,0,2026-06-14T17:42:35.790396,15,19,0.014985014985014986,0.01898101898101898,0.03396603396603397,10,1,20.25,Medium (1-5m),101,Nano
video_75,Video Title 75,59,0,Channel_508,UC264813,1000,900,27 days ago,KR,Sports,0,2026-06-14T17:42:35.790396,63,29,0.063,0.029,0.092,27,0,14.75,Extended (10-30m),100,Nano
video_76,Video Title 76,99,0,Channel_55,UC524829,1000,180,11 days ago,KR,News,0,2026-06-14T17:42:35.790396,147,15,0.147,0.015,0.162,11,0,24.75,Medium (1-5m),103,Nano
video_77,Video Title 77,72,0,Channel_37,UC453481,1000,3600,19 days ago,CA,Film,0,2026-06-14T17:42:35.790396,23,11,0.023,0.011,0.034,19,0,18.0,Very Long (>30m),100,Nano
video_78,Video Title 78,43,2,Channel_900,UC863658,1000,1800,24 days ago,IN,Technology,0,2026-06-14T17:42:35.790396,89,27,0.089,0.027,0.116,24,1,10.75,Extended (10-30m),101,Nano
video_79,Video Title 79,45,0,Channel_55,UC672450,1001,600,19 days ago,AU,Gaming,0,2026-06-14T17:42:35.790396,47,12,0.04695304695304695,0.011988011988011988,0.058941058941058944,19,0,11.25,Long (5-10m),100,Nano
video_80,Video Title 80,79,1,Channel_524,UC851126,1002,600,10 days ago,DE,Technology,0,2026-06-14T17:42:35.790396,130,19,0.12974051896207583,0.018962075848303395,0.14870259481037923,10,1,19.75,Long (5-10m),101,Nano
video_81,Video Title 81,60,0,Channel_915,UC394343,1000,3600,22 days ago,IN,Entertainment,0,2026-06-14T17:42:35.790396,81,24,0.081,0.024,0.105,22,0,15.0,Very Long (>30m),101,Nano
video_82,Video Title 82,48,0,Channel_463,UC619060,1001,1800,17 days ago,KR,Technology,0,2026-06-14T17:42:35.790396,129,14,0.12887112887112886,0.013986013986013986,0.14285714285714285,17,0,12.0,Extended (10-30m),100,Nano
video_83,Video Title 83,34,1,Channel_697,UC117572,1000,600,24 days ago,IN,Technology,0,2026-06-14T17:42:35.790396,140,13,0.14,0.013,0.153,24,1,8.5,Long (5-10m),106,Nano
video_84,Video Title 84,64,0,Channel_478,UC498363,1000,60,23 days ago,CA,Comedy,0,2026-06-14T17:42:35.790396,98,9,0.098,0.009,0.107,23,0,16.0,Short (<1m),100,Nano
video_85,Video Title 85,84,0,Channel_749,UC365587,1001,600,1 days ago,AU,Comedy,0,2026-06-14T17:42:35.790396,49,28,0.04895104895104895,0.027972027972027972,0.07692307692307693,1,0,21.0,Long (5-10m),109,Nano
video_86,Video Title 86,90,2,Channel_805,UC341502,1000,900,7 days ago,CA,How-to,0,2026-06-14T17:42:35.790396,72,28,0.072,0.028,0.1,7,1,22.5,Extended (10-30m),100,Nano
video_87,Video Title 87,28,0,Channel_716,UC194521,1000,1800,16 days ago,CA,How-to,0,2026-06-14T17:42:35.790396,98,14,0.098,0.014,0.112,16,0,7.0,Extended (10-30m),100,Nano
video_88,Video Title 88,20,1,Channel_211,UC171220,1000,3600,11 days ago,KR,Education,0,2026-06-14T17:42:35.790396,101,10,0.101,0.01,0.111,11,1,5.0,Very Long (>30m),100,Nano
video_89,Video Title 89,27,0,Channel_226,UC375739,1000,60,21 days ago,JP,Gaming,0,2026-06-14T17:42:35.790396,19,4,0.019,0.004,0.023,21,0,6.75,Short (<1m),100,Nano
video_90,Video Title 90,82,0,Channel_7,UC691145,1000,900,18 days ago,KR,Sports,0,2026-06-14T17:42:35.790396,59,14,0.059,0.014,0.073,18,0,20.5,Extended (10-30m),101,Nano
video_91,Video Title 91,30,0,Channel_732,UC901242,1000,900,1 days ago,DE,Sports,0,2026-06-14T17:42:35.790396,84,26,0.084,0.026,0.11,1,0,7.5,Extended (10-30m),100,Nano
video_92,Video Title 92,27,1,Channel_823,UC872071,1000,1800,2 days ago,KR,Entertainment,0,2026-06-14T17:42:35.790396,57,26,0.057,0.026,0.083,2,1,6.75,Extended (10-30m),100,Nano
video_93,Video Title 93,54,1,Channel_540,UC237812,1000,1800,29 days ago,GB,Gaming,0,2026-06-14T17:42:35.790396,90,4,0.09,0.004,0.094,29,1,13.5,Extended (10-30m),100,Nano
video_94,Video Title 94,54,0,Channel_989,UC132712,1000,180,22 days ago,US,Film,0,2026-06-14T17:42:35.790396,34,15,0.034,0.015,0.049,22,0,13.5,Medium (1-5m),100,Nano
video_95,Video Title 95,52,0,Channel_805,UC105468,1000,3600,2 days ago,CA,Film,0,2026-06-14T17:42:35.790396,14,24,0.014,0.024,0.038,2,0,13.0,Very Long (>30m),102,Nano
video_96,Video Title 96,24,2,Channel_212,UC753756,1000,1800,29 days ago,CA,Gaming,0,2026-06-14T17:42:35.790396,57,25,0.057,0.025,0.082,29,1,6.0,Extended (10-30m),100,Nano
video_97,Video Title 97,60,1,Channel_189,UC965486,1001,300,6 days ago,AU,How-to,0,2026-06-14T17:42:35.790396,89,28,0.08891108891108891,0.027972027972027972,0.11688311688311688,6,1,15.0,Medium (1-5m),100,Nano
video_98,Video Title 98,47,1,Channel_75,UC374848,1000,600,29 days ago,AU,Entertainment,0,2026-06-14T17:42:35.790396,11,6,0.011,0.006,0.017,29,1,11.75,Long (5-10m),101,Nano
video_99,Video Title 99,26,1,Channel_754,UC690262,1000,1800,28 days ago,IN,Music,0,2026-06-14T17:42:35.790396,95,13,0.095,0.013,0.108,28,1,6.5,Extended (10-30m),100,Nano
video_100,Video Title 100,92,0,Channel_114,UC689988,1000,300,24 days ago,AU,Education,0,2026-06-14T17:42:35.790396,59,28,0.059,0.028,0.087,24,0,23.0,Medium (1-5m),102,Nano
video_101,Video Title 101,91,1,Channel_679,UC498894,1000,300,8 days ago,GB,Music,0,2026-06-14T17:42:35.790396,149,8,0.149,0.008,0.157,8,1,22.75,Medium (1-5m),100,Nano
video_102,Video Title 102,31,0,Channel_618,UC229443,1001,180,22 days ago,US,Technology,0,2026-06-14T17:42:35.790396,119,10,0.11888111888111888,0.00999000999000999,0.12887112887112886,22,0,7.75,Medium (1-5m),100,Nano
video_103,Video Title 103,53,0,Channel_151,UC427026,1000,300,21 days ago,KR,Film,1,2026-06-14T17:42:35.790396,50,7,0.05,0.007,0.057,21,0,13.25,Medium (1-5m),100,Nano
video_104,Video Title 104,52,1,Channel_436,UC288059,1000,600,20 days ago,FR,Film,0,2026-06-14T17:42:35.790396,146,16,0.146,0.016,0.162,20,1,13.0,Long (5-10m),100,Nano
video_105,Video Title 105,67,0,Channel_878,UC267177,1000,60,14 days ago,JP,Gaming,0,2026-06-14T17:42:35.790396,48,16,0.048,0.016,0.064,14,0,16.75,Short (<1m),100,Nano
video_106,Video Title 106,42,1,Channel_84,UC463798,1000,900,22 days ago,JP,Sports,0,2026-06-14T17:42:35.790396,25,24,0.025,0.024,0.049,22,1,10.5,Extended (10-30m),117,Nano
video_107,Video Title 107,81,0,Channel_212,UC248443,1000,600,29 days ago,US,Comedy,0,2026-06-14T17:42:35.790396,13,12,0.013,0.012,0.025,29,0,20.25,Long (5-10m),100,Nano
video_108,Video Title 108,56,1,Channel_779,UC921729,1000,180,21 days ago,JP,News,0,2026-06-14T17:42:35.790396,119,8,0.119,0.008,0.127,21,1,14.0,Medium (1-5m),100,Nano
video_109,Video Title 109,63,0,Channel_834,UC841892,1000,60,26 days ago,US,Entertainment,0,2026-06-14T17:42:35.790396,54,25,0.054,0.025,0.079,26,0,15.75,Short (<1m),103,Nano
video_110,Video Title 110,54,0,Channel_781,UC915185,1000,180,20 days ago,US,Education,0,2026-06-14T17:42:35.790396,147,19,0.147,0.019,0.166,20,0,13.5,Medium (1-5m),101,Nano
video_111,Video Title 111,84,1,Channel_461,UC997142,1000,3600,22 days ago,GB,Technology,0,2026-06-14T17:42:35.790396,96,5,0.096,0.005,0.101,22,1,21.0,Very Long (>30m),100,Nano
video_112,Video Title 112,66,2,Channel_937,UC185765,1000,600,25 days ago,KR,Film,0,2026-06-14T17:42:35.790396,33,17,0.033,0.017,0.05,25,1,16.5,Long (5-10m),101,Nano
video_113,Video Title 113,97,1,Channel_177,UC498972,1001,900,25 days ago,DE,How-to,0,2026-06-14T17:42:35.790396,57,14,0.056943056943056944,0.013986013986013986,0.07092907092907093,25,1,24.25,Extended (10-30m),100,Nano
video_114,Video Title 114,22,0,Channel_783,UC609230,1002,300,8 days ago,JP,News,0,2026-06-14T17:42:35.790396,81,25,0.08083832335329341,0.0249500998003992,0.10578842315369262,8,0,5.5,Medium (1-5m),101,Nano
video_115,Video Title 115,20,2,Channel_312,UC684918,1000,1800,26 days ago,IN,Gaming,0,2026-06-14T17:42:35.790396,111,18,0.111,0.018,0.129,26,1,5.0,Extended (10-30m),100,Nano
video_116,Video Title 116,24,0,Channel_694,UC255675,1001,1800,17 days ago,JP,Entertainment,0,2026-06-14T17:42:35.790396,92,23,0.0919080919080919,0.022977022977022976,0.11488511488511488,17,0,6.0,Extended (10-30m),100,Nano
video_117,Video Title 117,33,0,Channel_159,UC863880,1000,300,25 days ago,JP,Gaming,0,2026-06-14T17:42:35.790396,46,14,0.046,0.014,0.06,25,0,8.25,Medium (1-5m),103,Nano
video_118,Video Title 118,46,0,Channel_701,UC778668,1000,180,5 days ago,BR,Music,0,2026-06-14T17:42:35.790396,76,29,0.076,0.029,0.105,5,0,11.5,Medium (1-5m),100,Nano
video_119,Video Title 119,28,0,Channel_186,UC202897,1000,60,27 days ago,FR,Gaming,0,2026-06-14T17:42:35.790396,40,24,0.04,0.024,0.064,27,0,7.0,Short (<1m),100,Nano
video_120,Video Title 120,98,0,Channel_471,UC917688,1001,1800,3 days ago,CA,Technology,0,2026-06-14T17:42:35.790396,59,18,0.058941058941058944,0.017982017982017984,0.07692307692307693,3,0,24.5,Extended (10-30m),101,Nano
video_121,Video Title 121,34,1,Channel_956,UC417958,1000,900,24 days ago,KR,Gaming,0,2026-06-14T17:42:35.790396,49,24,0.049,0.024,0.073,24,1,8.5,Extended (10-30m),101,Nano
video_122,Video Title 122,61,0,Channel_309,UC395105,1001,180,24 days ago,CA,Entertainment,0,2026-06-14T17:42:35.790396,135,10,0.13486513486513488,0.00999000999000999,0.14485514485514486,24,0,15.25,Medium (1-5m),100,Nano
video_123,Video Title 123,96,2,Channel_982,UC583919,1001,900,25 days ago,AU,News,0,2026-06-14T17:42:35.790396,120,29,0.11988011988011989,0.028971028971028972,0.14885114885114886,25,1,24.0,Extended (10-30m),104,Nano
video_124,Video Title 124,70,0,Channel_246,UC282713,1000,1800,18 days ago,JP,Comedy,0,2026-06-14T17:42:35.790396,84,13,0.084,0.013,0.097,18,0,17.5,Extended (10-30m),100,Nano
video_125,Video Title 125,82,1,Channel_829,UC781793,1000,180,10 days ago,CA,Entertainment,0,2026-06-14T17:42:35.790396,34,11,0.034,0.011,0.045,10,1,20.5,Medium (1-5m),100,Nano
video_126,Video Title 126,71,0,Channel_976,UC654019,1001,3600,4 days ago,BR,How-to,1,2026-06-14T17:42:35.790396,93,23,0.09290709290709291,0.022977022977022976,0.11588411588411589,4,0,17.75,Very Long (>30m),100,Nano
video_127,Video Title 127,23,1,Channel_384,UC106401,1000,3600,10 days ago,BR,Comedy,0,2026-06-14T17:42:35.790396,59,19,0.059,0.019,0.078,10,1,5.75,Very Long (>30m),102,Nano
video_128,Video Title 128,42,0,Channel_42,UC747280,1003,60,18 days ago,DE,Sports,0,2026-06-14T17:42:35.790396,15,23,0.014955134596211365,0.022931206380857428,0.03788634097706879,18,0,10.5,Short (<1m),100,Nano
video_129,Video Title 129,34,0,Channel_285,UC486341,1003,3600,29 days ago,GB,How-to,0,2026-06-14T17:42:35.790396,106,23,0.10568295114656032,0.022931206380857428,0.12861415752741776,29,0,8.5,Very Long (>30m),104,Nano
